Elapsed time;qo;Qo
(hr);(m3/D);(m3)
1518;13,60590835;1013,709686
1521;13,60590835;1015,410425
1524;13,60590835;1017,111163
1527;13,60590835;1018,811902
1530;13,57978989;1020,509376
1533;13,57683146;1022,20648
1536;13,57683146;1023,903583
1539;13,57683146;1025,600687
1542;13,57683146;1027,297791
1545;13,57683146;1028,994895
1548;13,57683146;1030,691999
1551;13,57683146;1032,389103
1554;13,56068682;1034,084189
1557;13,54833697;1035,777731
1560;13,54833697;1037,471273
1563;13,54833697;1039,164815
1566;13,54833697;1040,858357
1569;13,54833697;1042,5519
1572;13,54833697;1044,245442
1575;13,54833697;1045,938984
1578;13,54177493;1047,631706
1581;13,52040405;1049,321756
1584;13,52040405;1051,011807
1587;13,52040405;1052,701857
1590;13,52040405;1054,391908
1593;13,52040405;1056,081958
1596;13,52040405;1057,772009
1599;13,52040405;1059,462059
1602;13,52040405;1061,15211
1605;13,49566289;1062,839068
1608;13,49301292;1064,525694
1611;13,49301292;1066,212321
1614;13,49301292;1067,898947
1617;13,49301292;1069,585574
1620;13,49301292;1071,272201
1623;13,49301292;1072,958827
1626;13,49301292;1074,645454
1629;13,47765543;1076,330161
1632;13,46614481;1078,013429
1635;13,46614481;1079,696697
1638;13,46614481;1081,379965
1641;13,46614481;1083,063233
1644;13,46614481;1084,746501
1647;13,46614481;1086,429769
1650;13,46614481;1088,113038
1653;13,45981976;1089,795515
1656;13,43978178;1091,475488
1659;13,43978178;1093,15546
1662;13,43978178;1094,835433
1665;13,43978178;1096,515406
1668;13,43978178;1098,195379
1671;13,43978178;1099,875351
1674;13,43978178;1101,555324
1677;13,43978178;1103,235297
1680;13,41628076;1104,912332
1683;13,41390686;1106,58907
1686;13,41390686;1108,265809
1689;13,41390686;1109,942547
1692;13,41390686;1111,619285
1695;13,41390686;1113,296024
1698;13,41390686;1114,972762
1701;13,41390686;1116,6495
1704;13,39925979;1118,324408
1707;13,38850386;1119,997971
1710;13,38850386;1121,671534
1713;13,38850386;1123,345097
1716;13,38850386;1125,01866
1719;13,38850386;1126,692223
1722;13,38850386;1128,365786
1725;13,38850386;1130,039349
1728;13,38239393;1131,712148
1731;13,36355736;1133,382593
1734;13,36355736;1135,053037
1737;13,36355736;1136,723482
1740;13,36355736;1138,393927
1743;13,36355736;1140,064371
1746;13,36355736;1141,734816
1749;13,36355736;1143,405261
1752;13,36355736;1145,075705
1755;13,34117837;1146,743353
1758;13,33905271;1148,410734
1761;13,33905271;1150,078116
1764;13,33905271;1151,745497
1767;13,33905271;1153,412879
1770;13,33905271;1155,080261
1773;13,33905271;1156,747642
1776;13,33905271;1158,415024
1779;13,32504987;1160,080655
1782;13,31497581;1161,745027
1785;13,31497581;1163,409399
1788;13,31497581;1165,073771
1791;13,31497581;1166,738143
1794;13,31497581;1168,402515
1797;13,31497581;1170,066887
1800;13,31497581;1171,731259
1803;13,30906204;1173,394892
1806;13,29131329;1175,056306
1809;13,29131329;1176,71772
1812;13,29131329;1178,379134
1815;13,29131329;1180,040548
1818;13,29131329;1181,701962
1821;13,29131329;1183,363377
1824;13,29131329;1185,024791
1827;13,29131329;1186,686205
1830;13,26995383;1188,344949
1833;13,26805236;1190,003456
1836;13,26805236;1191,661962
1839;13,26805236;1193,320469
1842;13,26805236;1194,978975
1845;13,26805236;1196,637482
1848;13,26805236;1198,295988
1851;13,26805236;1199,954495
1854;13,25463617;1201,611324
1857;13,24518078;1203,266972
1860;13,24518078;1204,92262
1863;13,24518078;1206,578267
1866;13,24518078;1208,233915
1869;13,24518078;1209,889562
1872;13,24518078;1211,54521
1875;13,24518078;1213,200858
1878;13,23944661;1214,855788
1881;13,22268688;1216,508624
1884;13,22268688;1218,16146
1887;13,22268688;1219,814296
1890;13,22268688;1221,467132
1893;13,22268688;1223,119968
1896;13,22268688;1224,772804
1899;13,22268688;1226,425639
1902;13,22268688;1228,078475
1905;13,20225764;1229,728758
1908;13,20055946;1231,378827
1911;13,20055946;1233,028897
1914;13,20055946;1234,678967
1917;13,20055946;1236,329037
1920;13,20055946;1237,979107
1923;13,20055946;1239,629177
1926;13,20055946;1241,279247
1929;13,18767959;1242,927707
1932;13,17878777;1244,575055
1935;13,17878777;1246,222404
1938;13,17878777;1247,869752
1941;13,17878777;1249,517101
1944;13,17878777;1251,164449
1947;13,17878777;1252,811798
1950;13,17878777;1254,459146
1953;13,17321864;1256,105799
1956;13,15736154;1257,750469
1959;13,15736154;1259,395139
1962;13,15736154;1261,039809
1965;13,15736154;1262,684479
1968;13,15736154;1264,32915
1971;13,15736154;1265,97382
1974;13,15736154;1267,61849
1977;13,15736154;1269,26316
1980;13,13778409;1270,905383
1983;13,13627093;1272,547417
1986;13,13627093;1274,189451
1989;13,13627093;1275,831485
1992;13,13627093;1277,473519
1995;13,13627093;1279,115553
1998;13,13627093;1280,757586
2001;13,13627093;1282,39962
2004;13,12388311;1284,040106
2007;13,11550648;1285,679544
2010;13,11550648;1287,318982
2013;13,11550648;1288,958421
2016;13,11550648;1290,597859
2019;13,11550648;1292,237297
2022;13,11550648;1293,876736
2025;13,11550648;1295,516174
2028;13,11008955;1297,154935
2031;13,09505915;1298,791817
2034;13,09505915;1300,4287
2037;13,09505915;1302,065582
2040;13,09505915;1303,702465
2043;13,09505915;1305,339347
2046;13,09505915;1306,976229
2049;13,09505915;1308,613112
2052;13,09505915;1310,249994
2055;13,07626439;1311,884527
2058;13,07492021;1313,518892
2061;13,07492021;1315,153257
